"","event","white","black","whiteelo","blackelo","whiterd","blackrd","timecontrol","date","time","whiteclock","blackclock","eco","plycount","result","moves","comp"
"11","FICS rated blitz game","Rookie","salav","2365","1882","29.4","21.9","300+0","2017.01.31","21:26:00","0:05:00.000","0:05:00.000","D00","47","1-0","1. d4 d5 2. Bf4 g6 3. c4 e6 4. Nc3 c6 5. e4 Bd6 6. e5 Bf8 7. Nf3 Bg7 8. Bd3 Ne7 9. b3 O-O 10. O-O a6 11. Qd2 b5 12. cxb5 cxb5 13. a4 b4 14. Ne2 a5 15. Rfc1 Ba6 16. Rc2 Bxd3 17. Qxd3 Nd7 18. Rac1 Qb6 19. Qb5 Qxb5 20. axb5 Rfc8 21. Rc7 Rxc7 22. Rxc7 Rd8 23. Ra7 Nc6 24. bxc6 {Black resigns} 1-0","white"
"12","FICS rated standard game","MortimerBlackwell","pacovsky","2368","1823","37.5","72.2","1200+10","2017.01.31","21:26:00","0:20:00.000","0:20:00.000","C78","9","1-0","1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O {Black forfeits by disconnection} 1-0","white"
"13","FICS rated blitz game","IFDThor","shutnic","2031","2061","17.6","22.0","300+0","2017.01.31","21:14:00","0:05:00.000","0:05:00.000","A44","81","1-0","1. d4 c5 2. d5 e5 3. e4 d6 4. Nf3 Be7 5. Bb5+ Nd7 6. O-O a6 7. Bd3 Ngf6 8. Nc3 O-O 9. a4 Rb8 10. a5 h6 11. Be3 Ng4 12. Bd2 b5 13. axb6 Qxb6 14. b3 Ra8 15. h3 Ngf6 16. Qe2 Nb8 17. Na4 Qc7 18. Be3 Nh5 19. Nxe5 Bf6 20. f4 Ng3 21. Qd2 Nxf1 22. Rxf1 dxe5 23. Bxc5 Re8 24. fxe5 Bxe5 25. Qf2 f6 26. Nb6 Ra7 27. Nxc8 Rxc8 28. Bxa7 Nd7 29. Bd4 a5 30. Bc4 Kh8 31. Qe3 Bxd4 32. Qxd4 Ne5 33. Ba6 Rb8 34. Bd3 Rb4 35. Qe3 Nxd3 36. Qxd3 Qc5+ 37. Rf2 Rd4 38. Qf3 Rd2 39. c4 Qd4 40. Qf4 Kh7 41. Qxd2 {Black resigns} 1-0","white"
"14","FICS rated blitz game","shutnic","Speyside","2071","2000","22.0","42.6","300+0","2017.01.31","20:58:00","0:05:00.000","0:05:00.000","A04","108","0-1","1. Nf3 c5 2. g3 b6 3. Bg2 Bb7 4. O-O Nf6 5. d3 e6 6. e4 d5 7. e5 Nfd7 8. Re1 Be7 9. h4 O-O 10. Bf4 Qc8 11. Nbd2 Nc6 12. Nf1 Qb8 13. h5 Rd8 14. N1h2 Kh8 15. h6 gxh6 16. Bxh6 Ndxe5 17. Qd2 Bf6 18. c3 Rg8 19. Nxe5 Bxe5 20. Nf3 Bf6 21. Ng5 Nd8 22. d4 a6 23. Bh3 cxd4 24. cxd4 Ra7 25. Bxe6 Bxg5 26. Bxg5 Nxe6 27. Bf6+ Ng7 28. Qh6 a5 29. Re5 Qxe5 30. Bxe5 Ra6 31. Re1 b5 32. Bf6 Re6 33. Re5 Rxe5 34. Bxe5 Bc8 35. Qc6 Be6 36. Qxb5 Ra8 37. Qe2 h6 38. Qe3 Kh7 39. Qf4 Nf5 40. g4 Nh4 41. f3 Ng6 42. Qf6 Rg8 43. Kf2 Nxe5 44. Qxe5 Rc8 45. Ke3 Rc2 46. Qb8 a4 47. a3 Kg7 48. Kf4 Rc8 49. Qb4 Rc4 50. Qa5 Rxd4+ 51. Ke5 Rc4 52. f4 Re4+ 53. Kd6 Rxf4 54. Qa7 Rxg4 {White forfeits on time} 0-1","black"
"15","FICS rated standard game","BlackberryClassic","Bliep","2211","2390","61.2","48.1","1200+0","2017.01.31","20:25:00","0:20:00.000","0:20:00.000","B01","141","1-0","1. e4 d5 2. exd5 e6 3. Bb5+ c6 4. dxc6 Nxc6 5. Nf3 Nf6 6. O-O Bd6 7. d4 O-O 8. c4 Rb8 9. Nc3 h6 10. Ba4 a6 11. Be3 Ng4 12. c5 Bc7 13. Qd2 Nxe3 14. fxe3 Ne7 15. Rad1 b6 16. b4 bxc5 17. bxc5 Nd5 18. Nxd5 Qxd5 19. Rc1 a5 20. Qe2 Rd8 21. Bb5 a4 22. Bxa4 Ra8 23. Bb3 Qc6 24. Bc4 Ra3 25. Rb1 Qa8 26. Nd2 Rf8 27. Rb2 Bd7 28. Nb1 Ra5 29. Nc3 Ra3 30. Nb1 Ra5 31. Nc3 Bc6 32. Bb5 Bb7 33. a4 Qd8 34. Qh5 Ba8 35. Rbf2 f5 36. Bc4 Kh8 37. Bxe6 f4 38. Bd5 Qd7 39. e4 Kh7 40. Qe2 g6 41. Qc4 Bc6 42. Bxc6 Qxc6 43. Qd5 Ra6 44. Qc4 g5 45. d5 Qb7 46. e5 Ba5 47. Ne4 Qa8 48. d6 Bd8 49. Nc3 Kg7 50. e6 Bf6 51. e7 Rb8 52. g3 h5 53. gxf4 g4 54. f5 Qc6 55. Qe6 g3 56. hxg3 Qxc5 57. Ne4 Qd4 58. e8=Q Rxe8 59. Qxe8 Rxd6 60. Rb1 Rb6 61. Rxb6 Qxb6 62. Qg6+ Kf8 63. Qxf6+ Qxf6 64. Nxf6 Kg7 65. Nxh5+ Kh6 66. g4 Kg5 67. f6 Kxg4 68. f7 Kxh5 69. f8=Q Kh4 70. Rg2 Kh5 71. Qh8# {Black checkmated} 1-0","black"
"16","FICS rated blitz game","FedorEmelianenko","IFDThor","1983","2040","26.2","17.6","300+0","2017.01.31","20:54:00","0:05:00.000","0:05:00.000","A45","49","1-0","1. d4 Nf6 2. Bg5 Ne4 3. h4 Nxg5 4. hxg5 Nc6 5. e3 e5 6. d5 Na5 7. g6 fxg6 8. Bd3 Qg5 9. Nf3 Qxg2 10. Rh2 Bb4+ 11. c3 Qg4 12. Rh4 Qg2 13. Rh2 Qg4 14. Rh4 Qg2 15. cxb4 Rf8 16. Be2 Nc4 17. Rxc4 c6 18. d6 g5 19. Qd3 Qh1+ 20. Kd2 Rxf3 21. Qe4 Rh3 22. Qxe5+ Kf7 23. Qf5+ Kg8 24. Re4 Qxe4 25. Qxe4 {Black resigns} 1-0","black"
"17","FICS rated blitz game","IFDThor","FedorEmelianenko","2033","1990","17.6","26.3","300+0","2017.01.31","20:53:00","0:05:00.000","0:05:00.000","D43","75","1-0","1. d4 Nf6 2. c4 d5 3. Nf3 e6 4. Nc3 c6 5. Bg5 h6 6. Bxf6 Qxf6 7. cxd5 exd5 8. e3 Bb4 9. Bd3 O-O 10. O-O Bxc3 11. bxc3 Re8 12. Rb1 b6 13. c4 Bg4 14. cxd5 Bxf3 15. Qxf3 Qxf3 16. gxf3 cxd5 17. Rb5 Rd8 18. Rc1 Nd7 19. Rxd5 Nf6 20. Rxd8+ Rxd8 21. Kg2 Kf8 22. Rc7 Rd7 23. Rxd7 Nxd7 24. Kg3 Ke7 25. Kf4 Ke6 26. Bc4+ Ke7 27. e4 f6 28. Kf5 Nf8 29. d5 Kd6 30. Bb5 a5 31. a4 Kc5 32. h4 Kd6 33. h5 Kc5 34. f4 Kd6 35. Bc6 Ke7 36. e5 fxe5 37. fxe5 Kd8 38. d6 {Black resigns} 1-0","white"
"18","FICS rated standard game","Arturitogalacti","IFDThor","1940","2155","181.5","52.2","900+5","2017.01.31","20:35:00","0:15:00.000","0:15:00.000","E62","140","0-1","1. Nf3 g6 2. c4 Bg7 3. Nc3 d6 4. g3 Nc6 5. Bg2 Nf6 6. O-O O-O 7. d4 Bf5 8. b3 Ne4 9. Nxe4 Bxe4 10. Bb2 e6 11. e3 Qe7 12. Nd2 Bd3 13. Re1 f5 14. Bf1 Nb4 15. Bc3 Bxf1 16. Rxf1 c5 17. Bxb4 cxb4 18. Rc1 e5 19. Nf3 e4 20. Ne1 Rac8 21. Ng2 Bh6 22. h4 Qe6 23. Nf4 Bxf4 24. gxf4 Rc7 25. Kg2 Rfc8 26. Qd2 a5 27. Rh1 Qf6 28. Kg3 Kf7 29. Rc2 b5 30. Rhc1 bxc4 31. Rxc4 Rxc4 32. Rxc4 Rxc4 33. bxc4 Qe6 34. Qc2 Qe8 35. c5 Qc6 36. Qc4+ Kf6 37. Kh3 dxc5 38. dxc5 Qe6 39. Qd4+ Kf7 40. Qh8 h5 41. Qh7+ Kf6 42. Qh8+ Ke7 43. Qd4 Qxa2 44. Qd6+ Kf7 45. c6 Qa1 46. Kh2 Qb2 47. Kg2 Qf6 48. Qd7+ Qe7 49. Qd5+ Qe6 50. Qxa5 Qxc6 51. Qxb4 Qf6 52. Kg3 Kg7 53. Qb7+ Qf7 54. Qb2+ Kh7 55. Qb6 Qd7 56. Qf6 Qc7 57. Qg5 Kg7 58. Kg2 Kf7 59. Kg3 Qc1 60. Kg2 Qd1 61. Qg3 Qg4 62. Kf1 Ke7 63. Ke1 Kd6 64. Kd2 Ke6 65. Kc3 Ke7 66. Kd4 Kd6 67. Kc3 Kd5 68. Kd2 Kc4 69. Kc2 Qe2+ 70. Kb1 Kc3 {White resigns} 0-1","black"
"19","FICS rated standard game","Arturitogalacti","IFDThor","2013","2149","201.3","52.5","900+5","2017.01.31","20:28:00","0:15:00.000","0:15:00.000","A04","50","0-1","1. Nf3 c5 2. b3 Nc6 3. Bb2 Nf6 4. g3 d5 5. Bg2 Bf5 6. O-O Rc8 7. d3 e6 8. Nbd2 Qd6 9. Nh4 Bg4 10. h3 Bh5 11. g4 Qf4 12. e3 Bxg4 13. exf4 Bxd1 14. Raxd1 Nd4 15. Bxd4 cxd4 16. Rc1 Ba3 17. Nhf3 Bb2 18. Rfe1 O-O 19. Ne5 Bxc1 20. Rxc1 Nh5 21. Nef3 Nxf4 22. Kf1 Nxd3 23. Ra1 Rxc2 24. Ke2 Nf4+ 25. Kf1 Rfc8 {White resigns} 0-1","black"
"20","FICS unrated blitz game","oldman","dyemaker","2567","1596","38.6","22.0","180+0","2017.01.31","20:32:00","0:03:00.000","0:03:00.000","B01","36","1-0","1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Bg4 6. Bd3 Nf6 7. O-O e6 8. Re1 Be7 9. h3 Bh5 10. Bd2 Qc7 11. Na4 O-O 12. c4 Nbd7 13. b3 Rac8 14. g4 Bg6 15. Bxg6 fxg6 16. Ng5 Rfe8 17. Nxe6 Qb6 18. Nxb6 Nxb6 {Black resigns} 1-0","white"
"21","FICS rated standard game","GriffyJr","Arturitogalacti","2072","1964","22.0","237.7","900+5","2017.01.31","20:21:00","0:15:00.000","0:15:00.000","E36","59","1/2-1/2","1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 d5 5. a3 Bxc3+ 6. Qxc3 Ne4 7. Qd3 c5 8. cxd5 Qxd5 9. f3 Nf6 10. Be3 cxd4 11. Qxd4 Qxd4 12. Bxd4 Nc6 13. Bxf6 gxf6 14. Rd1 e5 15. e4 Be6 16. Bb5 Rc8 17. Ne2 Ke7 18. Kf2 a6 19. Ba4 b5 20. Bc2 Rhd8 21. Bd3 Nd4 22. Nxd4 Rxd4 23. Ke3 Rcd8 24. Rd2 Bb3 25. Rc1 Bc4 26. Rcd1 Bb3 27. Re1 Bc4 28. Red1 Bb3 29. Rf1 Bc4 30. Rfd1 {Game drawn by repetition} 1/2-1/2","white"
"22","FICS rated standard game","ArasanX","BlackberryClassic","2682","2212","35.5","61.9","900+5","2017.01.31","20:21:00","0:15:00.000","0:15:00.000","C67","20","1-0","1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Nxe4 5. d4 Be7 6. Qe2 Nd6 7. Bxc6 bxc6 8. dxe5 Nf5 9. Qe4 Nh4 10. Nxh4 Bxh4 {Black resigns} 1-0","white"
"23","FICS rated standard game","Sillycon","lujiay","2377","1664","40.8","68.7","900+0","2017.01.31","20:13:00","0:15:00.000","0:15:00.000","B90","22","1-0","1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. f3 e5 7. Nb3 Be7 8. Be3 O-O 9. Qd2 Be6 10. O-O-O Nc6 11. Nd5 Nxd5 {Black resigns} 1-0","white"
"24","FICS rated blitz game","salav","Rookie","1904","2364","22.0","29.4","300+0","2017.01.31","20:12:00","0:05:00.000","0:05:00.000","C55","33","0-1","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. c3 Nxe4 5. d4 d5 6. Bb5 exd4 7. Nxd4 Bc5 8. O-O O-O 9. f3 Nd6 10. Bxc6 bxc6 11. Kh1 Re8 12. Nxc6 Qh4 13. b4 Nf5 14. bxc5 Ng3+ 15. Kg1 Nxf1 16. Kxf1 Ba6+ 17. c4 {White resigns} 0-1","black"
"25","FICS rated standard game","hastrman","ikey","1909","2181","51.3","66.9","900+0","2017.01.31","19:47:00","0:15:00.000","0:15:00.000","E68","78","0-1","1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. g3 O-O 5. Bg2 d6 6. Nf3 Nbd7 7. O-O e5 8. e4 exd4 9. Nxd4 Re8 10. h3 a6 11. Nc2 Ne5 12. f4 Nxc4 13. Qe2 Nb6 14. Be3 c6 15. Qd3 Be6 16. Rfe1 Nc4 17. Rab1 Nxe3 18. Qxe3 Qc7 19. Kh2 Rad8 20. Qf2 Bc8 21. Rbd1 Nd7 22. Na4 b5 23. Nc3 Nb6 24. Nd4 Bb7 25. Re3 c5 26. Ndxb5 axb5 27. Nxb5 Qc6 28. Rb3 c4 29. Rb4 Qc5 30. Qd2 Bxe4 31. a3 Bxg2 32. Qxg2 d5 33. b3 c3 34. Rb1 d4 35. Rd1 d3 36. Rb1 c2 37. Re1 Rxe1 38. Nd4 Bxd4 39. f5 Re2 {White resigns} 0-1","white"
"26","FICS rated standard game","fabiomaxxx","konozrout","1656","2355","132.8","130.4","900+0","2017.01.31","19:53:00","0:15:00.000","0:15:00.000","C44","4","0-1","1. e4 e5 2. Nf3 Nc6 {White forfeits by disconnection} 0-1","black"
"27","FICS rated blitz game","konozrout","zbyshek","2036","1967","60.3","34.7","300+0","2017.01.31","19:02:00","0:05:00.000","0:05:00.000","B06","81","1-0","1. d4 d6 2. e4 g6 3. Nc3 Bg7 4. Be3 a6 5. f4 b5 6. Bd3 Bb7 7. Nf3 Nd7 8. e5 e6 9. a4 b4 10. Ne4 Bxe4 11. Bxe4 d5 12. Bd3 Ne7 13. Qd2 Qb8 14. O-O O-O 15. a5 Rc8 16. Ra4 Nc6 17. c4 bxc3 18. Qxc3 Ne7 19. Rc1 c6 20. g4 Qa7 21. Qe1 Rab8 22. Rb4 Bf8 23. Rxb8 Rxb8 24. Qe2 c5 25. dxc5 Nc6 26. Qf2 Rb4 27. Kg2 Qb8 28. Rc2 Be7 29. Bxa6 g5 30. Nd4 Rxd4 31. Bxd4 gxf4 32. Qxf4 f6 33. Qd2 fxe5 34. Bf2 e4 35. Qe2 Nde5 36. Kh1 Nf3 37. Be3 Nb4 38. c6 Nxc2 39. Qxc2 Bd6 40. Be2 Ne5 41. Bf4 {Black forfeits on time} 1-0","white"
"28","FICS rated standard game","lujiay","Sillycon","1664","2377","68.8","40.8","900+0","2017.01.31","18:53:00","0:15:00.000","0:15:00.000","B32","32","0-1","1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 e5 5. Nxc6 dxc6 6. Bd3 Nf6 7. O-O Bg4 8. f3 Bc5+ 9. Kh1 Be6 10. Nc3 O-O 11. a3 Nh5 12. b4 Bd4 13. Bb2 Ng3+ 14. hxg3 Qg5 15. f4 Qh6+ 16. Qh5 Qxh5# {White checkmated} 0-1","black"
"29","FICS rated blitz game","zbyshek","MrsLurking","1960","2150","35.3","41.1","300+0","2017.01.31","18:40:00","0:05:00.000","0:05:00.000","D38","66","0-1","1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Nc3 Bb4 5. Qa4+ Nc6 6. cxd5 exd5 7. Bg5 h6 8. Bxf6 Qxf6 9. e3 O-O 10. Rc1 Qg6 11. Be2 Qxg2 12. Rg1 Qh3 13. Rg3 Qf5 14. Kd2 Bd6 15. Rg2 Bd7 16. Qb3 Bb4 17. Rcg1 g6 18. Kc1 Bxc3 19. Qxc3 Rfe8 20. Nh4 Qe4 21. Nxg6 fxg6 22. Bd3 Qe7 23. Bxg6 Red8 24. Bf7+ Kh8 25. Bxd5 Rf8 26. Rg6 Rf6 27. Bxc6 Rxc6 28. Rxc6 bxc6 29. d5+ Kh7 30. Qc2+ Kh8 31. Qg6 Qf8 32. dxc6 Bf5 33. Qg3 Qc5+ {White resigns} 0-1","black"
"30","FICS rated blitz game","sumeos","Knightsmasher","1869","2366","22.7","40.6","180+0","2017.01.31","18:34:00","0:03:00.000","0:03:00.000","C26","40","0-1","1. e4 e5 2. Nc3 Nf6 3. g3 Bc5 4. Bg2 O-O 5. d3 Nc6 6. h3 d6 7. Nge2 Be6 8. O-O a5 9. Kh2 Re8 10. f4 a4 11. f5 Bd7 12. g4 h6 13. a3 b6 14. Ng3 Ne7 15. h4 Nc6 16. g5 Nh7 17. Qg4 hxg5 18. hxg5 Nd4 19. g6 fxg6 20. fxg6 Bxg4 {White resigns} 0-1","black"
"31","FICS rated blitz game","josephalee","Speyside","2419","2001","67.3","42.9","120+12","2017.01.31","17:57:00","0:02:00.000","0:02:00.000","C63","105","1-0","1. e4 e5 2. Nf3 Nc6 3. Bb5 f5 4. Nc3 Nd4 5. exf5 c6 6. Ba4 d6 7. O-O Bxf5 8. Re1 Bg4 9. Nxe5 Bxd1 10. Nxc6+ Ne2+ 11. Rxe2+ Bxe2 12. Nxd8+ Kxd8 13. Nxe2 Rc8 14. d3 Kc7 15. Nf4 Kb8 16. Ne6 Nf6 17. Bf4 Nh5 18. Bd2 Be7 19. Re1 g6 20. c4 Bf6 21. Bb4 Be7 22. g4 Nf6 23. h3 Ka8 24. g5 Nh5 25. h4 h6 26. Bd2 hxg5 27. hxg5 Bd8 28. Bd7 Rb8 29. b4 Bb6 30. c5 dxc5 31. bxc5 Bd8 32. c6 Bb6 33. c7 Rbc8 34. Bc3 Rhg8 35. Bxc8 Rxc8 36. Kg2 a6 37. Be5 Ba5 38. Rc1 Bd2 39. Rc2 Bb4 40. d4 Ka7 41. d5 Be7 42. d6 Bxd6 43. Bxd6 b6 44. Be5 a5 45. Nd8 Ka6 46. Nf7 Ka7 47. Nd6 Rf8 48. c8=Q Rxc8 49. Rxc8 a4 50. a3 Ng7 51. Bxg7 b5 52. Bd4+ Ka6 53. Ra8# {Black checkmated} 1-0","black"
